Expense Category,Month,Year,US Amount (USD), UK Amount (USD), FR Amount (USD)
Fuel,1,2020, 72742.79, 16083.88, 14365.95
Fuel,2,2020, 45758.93, 24874.43, 14354.80
Fuel,3,2020, 64399.68, 19376.45, 16059.11
Fuel,4,2020, 58308.71, 19591.66, 17538.96
Fuel,5,2020, 61662.60, 20596.45, 12199.59
Fuel,6,2020, 70589.85, 17399.42, 14119.40
Fuel,7,2020, 59945.88, 22621.51, 24520.53
Fuel,8,2020, 69182.55, 23754.80, 13556.39
Fuel,9,2020, 73945.30, 11856.29, 16615.88
Fuel,10,2020, 69162.65, 12775.92, 16768.71
Fuel,11,2020, 62375.22, 22577.32, 17964.19
Fuel,12,2020, 83871.87, 17280.50, 18998.29
