Date,Expense Category,Amount
29/06/2020,Salaries & Benefits,440.37
10/07/2019,Vehicle Lease,600.23
19/06/2019,Utilities,1454.82
16/06/2020,Utilities,898.13
03/07/2022,Vehicle Lease,918.01
25/10/2020,Utilities,1182.12
03/05/2022,Office Supplies,1495.11
17/02/2022,Office Supplies,953.07
31/01/2019,Office Supplies,182.69
06/02/2021,Salaries & Benefits,1541.82
23/12/2019,Rent,1295.72
31/10/2019,Fuel,974.15
30/12/2021,Rent,1490.02
04/11/2020,Utilities,1397.40
04/08/2022,Vehicle Lease,439.91
11/08/2021,Salaries & Benefits,490.37
16/04/2019,Rent,1492.56
19/07/2022,Rent,541.72
31/08/2019,Meals & Entertainment,1260.53
28/11/2022,Fuel,180.89
30/11/2019,Utilities,465.02
25/08/2021,Vehicle Lease,1171.67
20/04/2022,Utilities,105.00
22/06/2020,Vehicle Lease,1242.57
11/03/2019,Fuel,1431.32
25/11/2020,Utilities,498.68
06/12/2020,Meals & Entertainment,91.50
22/12/2022,Utilities,241.34
12/04/2019,Vehicle Lease,183.33
02/04/2021,Vehicle Lease,619.41
11/10/2019,Vehicle Lease,785.55
01/01/2021,Utilities,1397.78
31/08/2020,Utilities,1272.08
08/06/2019,Utilities,1430.76
16/01/2019,Fuel,1579.88
09/02/2022,Utilities,1193.56
14/04/2021,Utilities,1644.52
19/02/2020,Vehicle Lease,1802.27
15/05/2021,Fuel,380.71
11/12/2021,Fuel,1204.79
30/03/2019,Meals & Entertainment,1727.53
26/07/2019,Rent,862.85
19/09/2022,Meals & Entertainment,284.01
17/11/2020,Rent,1109.17
22/07/2022,Utilities,1610.10
13/02/2021,Salaries & Benefits,456.04
24/12/2022,Salaries & Benefits,1209.68
13/02/2022,Utilities,1523.56
27/02/2020,Vehicle Lease,1018.65
24/09/2021,Rent,819.07
24/02/2021,Salaries & Benefits,1170.89
17/02/2020,Salaries & Benefits,1289.01
30/05/2021,Vehicle Lease,458.56
19/10/2020,Utilities,613.80
10/03/2020,Utilities,250.02
19/05/2021,Fuel,816.62
09/08/2019,Vehicle Lease,1372.81
13/07/2021,Meals & Entertainment,881.88
24/11/2022,Meals & Entertainment,1520.91
09/12/2021,Utilities,387.10
18/10/2021,Salaries & Benefits,1270.22
03/11/2019,Meals & Entertainment,1655.75
11/09/2022,Meals & Entertainment,271.91
02/06/2021,Fuel,263.10
25/06/2021,Meals & Entertainment,598.08
05/05/2019,Salaries & Benefits,826.23
09/02/2019,Fuel,1593.86
21/04/2020,Meals & Entertainment,688.92
03/06/2019,Utilities,1167.18
25/04/2021,Utilities,652.39
23/02/2019,Salaries & Benefits,1154.10
17/01/2019,Salaries & Benefits,313.89
12/05/2022,Vehicle Lease,427.27
28/03/2021,Salaries & Benefits,784.44
06/07/2020,Fuel,796.31
10/01/2021,Rent,148.51
04/07/2022,Utilities,195.54
06/10/2020,Utilities,710.17
20/11/2021,Fuel,203.91
26/06/2022,Office Supplies,1133.60
07/05/2021,Rent,1605.77
23/01/2022,Meals & Entertainment,1392.04
27/11/2022,Fuel,1616.15
06/01/2021,Vehicle Lease,1251.10
14/08/2021,Rent,1699.58
27/12/2020,Utilities,1707.03
31/08/2022,Meals & Entertainment,1116.26
27/09/2020,Salaries & Benefits,696.17
05/12/2021,Fuel,1601.40
16/09/2020,Office Supplies,368.88
27/11/2021,Office Supplies,1604.51
18/06/2020,Rent,144.92
16/10/2020,Rent,560.27
29/07/2022,Office Supplies,509.73
18/01/2022,Rent,1047.07
22/06/2020,Salaries & Benefits,1009.07
23/11/2020,Salaries & Benefits,711.95
07/11/2019,Meals & Entertainment,442.29
30/11/2021,Salaries & Benefits,1708.10
11/10/2019,Office Supplies,893.68
02/09/2021,Vehicle Lease,941.59
10/10/2021,Fuel,409.08
21/04/2020,Office Supplies,606.12
10/04/2021,Office Supplies,1619.07
20/03/2021,Utilities,816.46
17/11/2022,Meals & Entertainment,869.75
05/09/2020,Rent,1176.72
27/03/2019,Office Supplies,1039.28
19/08/2019,Rent,1294.31
24/04/2019,Office Supplies,598.36
20/09/2019,Office Supplies,383.28
30/09/2019,Fuel,297.62
05/10/2021,Vehicle Lease,1564.59
15/02/2021,Office Supplies,1767.83
19/09/2019,Vehicle Lease,211.59
17/10/2020,Salaries & Benefits,1315.19
06/07/2019,Rent,1463.33
12/07/2021,Utilities,244.11
10/02/2021,Rent,1579.56
19/04/2022,Utilities,995.41
24/06/2022,Vehicle Lease,1517.33
25/04/2019,Utilities,1344.32
26/12/2020,Fuel,393.96
15/11/2021,Salaries & Benefits,1067.05
28/07/2022,Salaries & Benefits,1780.68
12/05/2019,Office Supplies,592.13
12/09/2019,Meals & Entertainment,706.43
23/12/2022,Meals & Entertainment,1493.69
18/08/2021,Utilities,1790.93
14/06/2021,Fuel,827.30
13/04/2022,Utilities,460.66
15/10/2020,Office Supplies,1645.78
31/01/2022,Rent,914.95
16/05/2021,Office Supplies,1449.71
21/01/2020,Utilities,993.42
13/03/2020,Fuel,1664.09
13/10/2021,Rent,815.56
06/11/2019,Meals & Entertainment,193.05
21/10/2021,Meals & Entertainment,779.84
16/07/2022,Rent,1751.53
19/02/2021,Meals & Entertainment,255.98
25/11/2019,Fuel,1155.33
27/06/2019,Rent,174.10
07/11/2021,Salaries & Benefits,1747.81
16/08/2022,Rent,1500.62
26/11/2022,Vehicle Lease,637.09
21/05/2019,Utilities,1555.63
14/12/2021,Salaries & Benefits,1547.64
18/08/2022,Utilities,1355.85
14/09/2022,Meals & Entertainment,1799.56
12/11/2020,Rent,826.29
03/03/2022,Salaries & Benefits,103.21
28/11/2021,Office Supplies,899.85
07/03/2022,Fuel,1797.05
04/04/2020,Meals & Entertainment,1268.85
19/01/2021,Fuel,328.52
22/09/2020,Vehicle Lease,1651.55
26/01/2021,Office Supplies,1365.14
20/04/2019,Office Supplies,1700.08
14/08/2020,Rent,720.33
