Date,Expense Category,Amount
25/01/2021,Vehicle Lease,818.77
26/12/2021,Fuel,642.42
15/12/2020,Office Supplies,108.40
25/08/2020,Vehicle Lease,1447.53
27/07/2019,Salaries & Benefits,576.56
16/06/2020,Rent,248.06
05/01/2019,Utilities,541.38
09/02/2021,Office Supplies,1165.29
03/02/2019,Rent,1453.19
08/10/2020,Salaries & Benefits,748.42
29/04/2020,Office Supplies,1261.38
20/06/2019,Office Supplies,985.60
07/10/2019,Rent,161.30
17/02/2019,Utilities,1019.15
06/05/2020,Utilities,1430.18
30/04/2021,Fuel,703.94
22/09/2019,Vehicle Lease,162.19
27/09/2021,Rent,1259.87
22/02/2022,Vehicle Lease,1113.66
02/12/2020,Vehicle Lease,109.23
25/06/2019,Utilities,1321.08
05/01/2022,Meals & Entertainment,965.14
16/07/2021,Fuel,647.58
13/08/2019,Office Supplies,544.46
07/03/2022,Utilities,273.30
25/10/2021,Salaries & Benefits,550.05
29/11/2019,Vehicle Lease,266.43
20/10/2021,Fuel,390.34
28/07/2020,Meals & Entertainment,1381.02
15/01/2020,Rent,562.96
24/04/2019,Rent,1004.51
08/09/2019,Fuel,615.85
17/04/2019,Office Supplies,1287.77
28/09/2021,Utilities,1187.97
17/06/2019,Meals & Entertainment,1442.38
29/10/2021,Salaries & Benefits,1397.83
18/06/2019,Meals & Entertainment,1075.00
12/09/2021,Meals & Entertainment,958.43
03/10/2022,Rent,1453.86
20/11/2021,Utilities,564.05
10/06/2022,Fuel,938.94
08/07/2020,Office Supplies,573.65
26/07/2022,Meals & Entertainment,904.35
14/11/2021,Salaries & Benefits,260.29
24/08/2021,Vehicle Lease,1426.45
31/07/2019,Meals & Entertainment,1048.53
01/01/2019,Utilities,529.21
15/09/2019,Salaries & Benefits,986.85
26/11/2020,Utilities,209.65
18/05/2020,Meals & Entertainment,795.17
22/04/2020,Rent,1249.82
24/04/2020,Vehicle Lease,652.68
23/01/2021,Office Supplies,1002.45
18/02/2021,Rent,717.72
18/03/2020,Rent,264.17
10/03/2021,Fuel,1131.42
01/02/2019,Salaries & Benefits,194.01
17/05/2022,Vehicle Lease,542.69
07/04/2020,Salaries & Benefits,1336.74
25/04/2020,Meals & Entertainment,317.20
11/09/2022,Fuel,912.32
07/03/2020,Salaries & Benefits,430.20
22/11/2021,Vehicle Lease,1394.54
30/01/2020,Salaries & Benefits,617.16
20/04/2019,Utilities,330.06
19/06/2019,Vehicle Lease,550.37
20/03/2019,Vehicle Lease,760.81
10/11/2021,Rent,421.15
13/02/2019,Meals & Entertainment,106.51
18/01/2019,Utilities,574.94
26/05/2020,Utilities,1292.09
19/08/2021,Vehicle Lease,1424.10
23/04/2022,Salaries & Benefits,906.54
24/10/2020,Meals & Entertainment,1392.49
09/06/2019,Rent,269.97
14/12/2021,Fuel,1452.24
10/08/2022,Meals & Entertainment,663.03
02/03/2020,Rent,738.47
04/05/2020,Vehicle Lease,1516.09
02/02/2021,Utilities,793.97
11/06/2022,Fuel,233.06
15/11/2020,Meals & Entertainment,559.43
10/05/2020,Rent,1034.16
20/09/2019,Vehicle Lease,656.53
21/11/2020,Fuel,1333.35
20/11/2019,Vehicle Lease,291.29
23/02/2022,Office Supplies,736.66
07/12/2020,Office Supplies,175.85
31/10/2022,Vehicle Lease,1497.90
29/11/2022,Vehicle Lease,1280.67
10/12/2021,Meals & Entertainment,481.44
29/12/2021,Utilities,807.55
11/10/2021,Salaries & Benefits,767.44
18/07/2022,Utilities,1214.47
16/04/2021,Office Supplies,667.07
24/08/2019,Meals & Entertainment,334.93
30/04/2019,Fuel,1054.66
15/10/2020,Vehicle Lease,368.95
06/09/2021,Meals & Entertainment,815.27
06/11/2021,Office Supplies,107.90
21/03/2019,Fuel,935.92
01/09/2022,Vehicle Lease,157.73
11/05/2019,Vehicle Lease,1143.47
09/01/2020,Utilities,409.36
11/08/2020,Rent,1049.41
24/06/2019,Salaries & Benefits,1080.10
31/03/2019,Office Supplies,1052.04
23/09/2022,Fuel,1278.56
27/08/2021,Fuel,1165.93
02/03/2020,Meals & Entertainment,342.16
09/09/2022,Fuel,1041.10
29/04/2019,Vehicle Lease,714.34
07/07/2022,Meals & Entertainment,176.80
23/11/2022,Meals & Entertainment,175.21
24/11/2020,Meals & Entertainment,1017.55
15/09/2021,Salaries & Benefits,96.99
28/01/2019,Meals & Entertainment,385.97
27/02/2020,Rent,959.71
21/02/2022,Meals & Entertainment,484.18
07/07/2022,Fuel,1291.18
24/04/2019,Fuel,649.63
19/04/2022,Vehicle Lease,1475.30
28/07/2021,Salaries & Benefits,433.09
18/02/2019,Office Supplies,751.17
20/10/2022,Fuel,1278.98
20/02/2019,Office Supplies,806.67
31/12/2019,Vehicle Lease,231.90
24/07/2020,Fuel,431.44
04/02/2020,Fuel,190.45
14/04/2020,Vehicle Lease,764.68
10/07/2019,Meals & Entertainment,704.76
26/07/2022,Salaries & Benefits,771.84
30/07/2022,Office Supplies,1480.25
17/08/2019,Fuel,680.24
06/04/2021,Vehicle Lease,874.39
24/09/2019,Rent,1147.34
13/08/2019,Rent,786.96
21/02/2020,Salaries & Benefits,1496.71
04/07/2019,Meals & Entertainment,946.49
