Date,Expense Category,Amount
10/31/2020,Rent,201.46
12/16/2021,Salaries & Benefits,314.10
06/14/2022,Meals & Entertainment,144.43
11/04/2019,Vehicle Lease,341.52
03/13/2019,Salaries & Benefits,1500.23
01/27/2020,Rent,1193.64
08/17/2019,Fuel,795.44
04/05/2021,Utilities,631.73
03/26/2021,Utilities,482.12
03/17/2022,Office Supplies,1089.79
02/01/2020,Rent,1975.57
10/24/2021,Utilities,1937.17
07/19/2022,Utilities,1712.32
06/19/2021,Utilities,1859.38
08/04/2021,Office Supplies,1674.14
06/22/2021,Fuel,731.65
06/29/2021,Meals & Entertainment,1234.90
06/09/2022,Office Supplies,839.78
07/22/2021,Vehicle Lease,756.21
12/23/2019,Meals & Entertainment,728.16
07/08/2020,Utilities,1954.67
08/30/2019,Rent,253.61
06/26/2022,Office Supplies,893.35
07/22/2022,Fuel,808.69
03/31/2021,Meals & Entertainment,1936.51
06/23/2020,Rent,880.05
08/12/2019,Meals & Entertainment,1461.12
06/27/2020,Salaries & Benefits,163.40
01/26/2020,Office Supplies,1037.92
06/04/2020,Rent,465.95
11/06/2019,Vehicle Lease,511.08
07/13/2019,Utilities,1197.81
07/22/2019,Utilities,449.25
04/18/2021,Fuel,164.01
02/26/2019,Meals & Entertainment,1890.14
05/01/2019,Rent,1557.93
10/29/2021,Salaries & Benefits,1281.42
04/10/2022,Rent,568.86
11/11/2020,Meals & Entertainment,972.24
11/03/2021,Meals & Entertainment,1749.20
02/04/2019,Salaries & Benefits,600.89
12/02/2021,Utilities,601.88
12/29/2020,Office Supplies,1590.23
02/09/2021,Meals & Entertainment,1744.24
07/07/2020,Rent,1952.71
08/16/2022,Utilities,819.59
03/20/2021,Utilities,1549.81
05/08/2019,Salaries & Benefits,295.37
02/20/2019,Office Supplies,137.89
10/16/2019,Office Supplies,540.45
07/14/2019,Rent,1339.90
09/30/2022,Salaries & Benefits,1205.15
06/25/2022,Utilities,1772.93
11/20/2020,Office Supplies,904.59
06/21/2021,Salaries & Benefits,1854.67
01/12/2022,Utilities,1799.39
10/18/2021,Office Supplies,1133.16
09/13/2020,Utilities,395.20
02/06/2019,Fuel,363.69
12/21/2022,Vehicle Lease,1414.53
08/24/2019,Office Supplies,1160.01
02/01/2020,Office Supplies,970.12
01/08/2020,Office Supplies,752.78
11/17/2020,Rent,1307.57
11/30/2020,Rent,763.79
05/05/2022,Meals & Entertainment,1125.86
02/24/2021,Fuel,266.73
03/19/2021,Vehicle Lease,1927.07
08/24/2021,Fuel,214.14
10/25/2020,Rent,926.94
10/19/2019,Utilities,1390.37
04/28/2021,Rent,820.06
12/18/2022,Utilities,760.74
08/22/2022,Fuel,409.70
06/05/2022,Vehicle Lease,1834.18
10/26/2019,Meals & Entertainment,1007.78
10/05/2021,Office Supplies,1147.93
06/30/2019,Vehicle Lease,1377.55
10/20/2020,Office Supplies,906.08
02/07/2020,Vehicle Lease,1632.01
08/06/2022,Rent,592.06
08/11/2021,Utilities,604.38
09/06/2020,Salaries & Benefits,506.28
05/10/2020,Salaries & Benefits,340.35
05/17/2022,Office Supplies,1050.66
09/28/2021,Vehicle Lease,323.59
09/09/2021,Vehicle Lease,1067.58
01/31/2019,Utilities,1753.93
01/28/2020,Rent,1261.87
01/18/2019,Salaries & Benefits,735.19
01/10/2022,Rent,735.40
04/26/2022,Salaries & Benefits,399.58
11/23/2022,Office Supplies,1438.23
12/21/2022,Utilities,331.67
08/13/2019,Meals & Entertainment,1988.34
01/07/2021,Vehicle Lease,652.57
06/04/2022,Rent,1776.04
02/04/2019,Utilities,1149.06
03/10/2022,Utilities,970.23
07/13/2019,Vehicle Lease,130.12
12/11/2022,Salaries & Benefits,693.45
10/31/2020,Vehicle Lease,1413.65
06/02/2022,Vehicle Lease,262.83
10/31/2020,Rent,135.61
10/09/2022,Vehicle Lease,1907.38
07/21/2021,Meals & Entertainment,152.30
08/17/2021,Office Supplies,1891.84
11/24/2022,Salaries & Benefits,180.02
06/26/2022,Salaries & Benefits,753.87
07/10/2021,Utilities,742.83
12/24/2022,Salaries & Benefits,1473.07
02/27/2022,Meals & Entertainment,237.41
07/24/2022,Office Supplies,974.81
03/04/2021,Meals & Entertainment,1017.98
04/26/2021,Office Supplies,1737.16
05/12/2020,Fuel,1971.88
11/18/2021,Vehicle Lease,323.22
11/25/2019,Meals & Entertainment,365.72
05/22/2020,Office Supplies,1882.29
01/19/2021,Salaries & Benefits,1434.69
09/16/2020,Utilities,595.35
10/20/2019,Office Supplies,1690.74
05/15/2021,Salaries & Benefits,651.67
06/19/2021,Fuel,1281.78
02/05/2020,Office Supplies,580.91
07/05/2019,Rent,1822.04
05/12/2022,Fuel,592.47
02/19/2019,Salaries & Benefits,849.96
